codemun,isic_r4,qtde_vinc_ativos_sum,massa_salarial_sum
530010,Agriculture,6409,11256988639.0
530010,Business,165513,318627389810.0
530010,Construction,70474,187918700750.0
530010,Financial,38002,265255283570.0
530010,Government,492825,3032124819738.0
530010,Manufacturing,27230,44023846438.0
530010,Mining,421,772246845.0
530010,OtherServices,42090,87650129966.0
530010,RealEstate,2930,3648726144.0
530010,Trade,204255,233524801948.0
530010,Transport,40562,91156284461.0
530010,Utilities,8130,33220640851.0
